year,idind,x,y
2012,32536,"8","4"
2012,383,"12","3"
2012,44558,"8","2"
2012,25249,"8","4"
2012,25250,"8","3"
2012,32540,"8","3"
2012,31380,"8","3"
2012,399,"8","2"
2012,406,"24","1"
2012,44559,"8","3"
2012,11417,"16","3"
2012,11414,"12","4"
2012,14406,"10","3"
2012,394,"6","3"
2012,16336,"8","3"
2012,25273,"12","4"
2012,25252,"8","4"
2012,25253,"12","3"
2012,25269,"10","4"
2012,40620,"8","4"
2012,17964,"24","2"
2012,427,"8","2"
2012,428,"8","3"
2012,429,"8","3"
2012,431,"8","4"
2012,433,"7","4"
2012,419,"15","2"
2012,22824,"12","2"
2012,454,"12","3"
2012,457,"8","2"
2012,465,"12","2"
2012,11425,"24","1"
2012,466,"8","1"
2012,44561,"10","2"
2012,16344,"8","2"
2012,25177,"8","2"
2012,40625,"24","3"
2012,40626,"10","3"
2012,25182,"8","2"
2012,25183,"8","2"
2012,25184,"12","2"
2012,25185,"8","1"
2012,16348,"13","2"
2012,16349,"8","1"
2012,22826,"11","2"
2012,474,"6","3"
2012,44564,"6","3"
2012,14422,"8","1"
2012,44565,"12","2"
2012,24147,"9","2"
2012,28721,"8","1"
2012,32547,"8","3"
2012,25205,"8","2"
2012,40635,"8","3"
2012,40636,"12","2"
2012,40637,"8","3"
2012,32563,"8","2"
2012,32565,"8","2"
2012,44566,"10","3"
2012,40647,"10","2"
2012,32584,"8","3"
2012,32585,"12","2"
2012,40651,"8","2"
2012,40653,"12","3"
2012,40654,"8","3"
2012,32601,"8","3"
2012,32602,"8","3"
2012,32603,"8","4"
2012,32604,"8","4"
2012,32611,"8","3"
2012,32612,"5","2"
2012,32614,"8","2"
2012,32615,"8","3"
2012,32616,"11","2"
2012,32619,"10","3"
2012,32620,"10","3"
2012,32627,"8","2"
2012,40658,"9","1"
2012,40659,"7","2"
2012,40660,"4","1"
2012,44570,"8","2"
2012,40661,"4","3"
2012,40662,"8","4"
2012,40663,"10","3"
2012,32646,"24","3"
2012,32653,"8","3"
2012,40665,"8","2"
2012,32657,"8","3"
2012,40666,"6","3"
2012,40670,"8","3"
2012,32661,"16","3"
2012,44571,"8","4"
2012,32671,"4","2"
2012,32680,"8","2"
2012,32681,"8","1"
2012,44572,"8","3"
2012,32683,"8","3"
