month;CBEX_M
01.06.2016;2476.30
01.07.2016;2201.20
01.08.2016;2317.80
01.09.2016;2391.70
01.10.2016;2381.70
01.11.2016;2568.80
01.12.2016;5444.70
01.01.2017;1682.90
01.02.2017;2245.30
01.03.2017;2964.20
01.04.2017;2626.10
01.05.2017;2326.40
01.06.2017;2598.10
01.07.2017;2380.80
01.08.2017;2416.60
01.09.2017;2439.30
01.10.2017;2529.00
01.11.2017;2689.70
01.12.2017;5090.70
01.01.2018;1719.60
01.02.2018;2426.10
01.03.2018;2945.00
01.04.2018;2942.10
01.05.2018;2456.10
01.06.2018;2767.00
01.07.2018;2698.30
01.08.2018;2508.40
01.09.2018;2471.20
01.10.2018;2736.80
01.11.2018;2785.40
01.12.2018;5828.70
01.01.2019;1784.90
01.02.2019;2694.10
01.03.2019;2879.60
01.04.2019;3346.10
01.05.2019;2366.00
01.06.2019;2875.50
01.07.2019;3005.40
01.08.2019;2723.90
01.09.2019;2961.60
01.10.2019;3066.50
01.11.2019;3027.20
01.12.2019;6264.50
01.01.2020;2222.40
01.02.2020;2848.20
01.03.2020;3531.30
01.04.2020;3642.80
01.05.2020;2741.80
01.06.2020;3739.40
01.07.2020;3553.00
01.08.2020;2958.50
01.09.2020;3177.20
01.10.2020;3479.50
01.11.2020;3696.20
01.12.2020;6560.60
01.01.2021;2422.60
01.02.2021;3335.30
01.03.2021;3629.00
